CODIGO;DESCRIPCION;stock_total;costo_normal;precio_mayor_normal;precio_docena_normal;precio_unidad_normal;costo_distribuidor;precio_mayor_dist;precio_docena_dist;precio_unidad_dist
SILLA-01;SILLA DE METAL 89*50*53 CM;100;95.08;142.6;171.1;205.3;104.59;156.9;188.3;226
MSA-01;MESA DE MADERA CIRCULAR ARMABLE D360*90CM*75 CM (4 PCS);4;917.74;1376.6;1651.9;1982.3;1009.51;1514.3;1817.2;2180.6
MSA-02;MESA DE MADERA RECTA 240*120 CM;6;1016.08;1524.1;1828.9;2194.7;1117.69;1676.5;2011.8;2414.2
SILLA-02;SILLA DE METAL Y PLASTICO 88*45*50 CM;52;59.01;88.5;106.2;127.4;64.91;97.4;116.9;140.3
MSA-03;MESA DE METAL Y PLASTICO 240*76 CM;5;157.35;236;283.2;339.8;173.09;259.6;311.5;373.8
D160;MESA CIRCULAR DE METAL DE 160 CM DE DIAMETRO;4;1171.53;1757.3;2108.8;2530.6;1288.68;1933;2319.6;2783.5
D120;MESA CIRCULAR DE METAL DE 120 CM DE DIAMETRO;8;1006.22;1509.3;1811.2;2173.4;1106.84;1660.3;1992.4;2390.9
D360;MESA CIRCULAR DE METAL DE 360 CM DE DIAMETRO * 90 CM;4;994.37;1491.6;1789.9;2147.9;1093.81;1640.7;1968.8;2362.6
SLA-01;SILLA DE METAL 89*50*53 CM;50;177.86;266.8;320.2;384.2;195.65;293.5;352.2;422.6
MSA-04;MESA DE METAL DE 240 CM DE DIAMETRO * 100 CM;4;1678.66;2518;3021.6;3625.9;1846.53;2769.8;3323.8;3988.6
SLA-02;SILLA DE METAL  90*50*53 CM;80;225.02;337.5;405;486;247.52;371.3;445.6;534.7
D180;MESA CIRCULAR DE METAL DE 180 CM DE DIAMETRO;10;1292.94;1939.4;2327.3;2792.8;1422.23;2133.4;2560.1;3072.1
EST-01;MODULO PARA PANTALLA LED (ESTRUCTURA DE ALUMINIO) DE 12 * 6 MTS;2;16643.96;24965.9;29959.1;35950.9;18308.36;27462.5;32955;39546
EST-02;ESTRUCTURA DE ALUMINO DE 2.90 * 4.00 MTS;1;11429.26;17143.9;20572.7;24687.2;12572.19;18858.3;22630;27156
CN-8130-RQ-GS260;OLLA AUTOMATICA GS260 DE 510*800*1350 MM;2;3800.25;5700.4;6840.5;8208.6;4180.28;6270.4;7524.5;9029.4
CN-8130-RQ-GS300;OLLA AUTOMATICA GS300 DE 550*800*1350 MM;2;4652.46;6978.7;8374.4;10049.3;5117.71;7676.6;9211.9;11054.3
PAN;PANTALLA LED EN GABINETE DE ALUMINIO FUNDIDO PARA EXTERIORES, INCLUYE ACCESORIOS  500*1000 MM  ;48;1145.93;1718.9;2062.7;2475.2;1260.52;1890.8;2269;2722.8
8618B;MAQUINA DE HELADOS DE 550*760*1360 MM ;1;3128.76;4693.1;5631.7;6758;3441.64;5162.5;6195;7434
135N;CILINDRO PARA UTILIZAR CON CARBON DE 135*80 CM;1;457.18;685.8;823;987.6;502.9;754.3;905.2;1086.2
140N;CILINDRO PARA UTILIZAR CON CARBON DE 140*100 CM;1;800.05;1200.1;1440.1;1728.1;880.06;1320.1;1584.1;1900.9
BJ-1216;PORTA MACETAS DE JARDIN P/12 MACETAS DE METAL 64*38*144 CM;40;89.31;134;160.8;193;98.24;147.4;176.9;212.3
1703;PEDESTAL DE PLASTICO DE 90 CM;368;20.65;31;37.2;44.6;22.72;34.1;40.9;49.1
1502;PEDESTAL DE PLASTICO DE 90 CM;200;20.65;31;37.2;44.6;22.72;34.1;40.9;49.1
1715;COPA DE PLASTICO INCLUYE PARTE DE COPA DE 50*30*23 CM;360;12.38;18.6;22.3;26.8;13.62;20.4;24.5;29.4
JLP-AG;FLORERO DE PLASTICO DE 84.5*21.8 CM;400;30.6;45.9;55.1;66.1;33.66;50.5;60.6;72.7
JLP-VL;ADORNO TIPO VELA DE PLASTICO DE 15*22* 29 CM SET/3 PCS;200;20.65;31;;0;22.72;34.1;40.9;49.1
2036;FLORERO TIPO CANASTA DE PLASTICO DE 26*12 CM;640;8.27;12.4;14.9;17.9;9.1;13.6;16.3;19.6
2035;FLORERO TIPO CANASTA DE PLASTICO DE 26*12 CM;640;8.27;;0;0;9.1;13.6;16.3;19.6
JLP-CA;ADORNO TIPO CANDELABRO DE PLASTICO DE 112*102*9 CM, 2*82*72 CM;80;41.31;62;74.4;89.3;45.44;68.2;81.8;98.2
2042-CH;FLORERO DE PLASTICO DE 22.3*14 CM;480;4.98;7.5;9;10.8;5.48;8.2;9.8;11.8
2049-M;FLORERO DE PLASTICO DE 29.3*15.6 CM;480;8.27;12.4;14.9;17.9;9.1;13.6;16.3;19.6
2048-G;FLORERO DE PLASTICO DE 37*18.8 CM;240;10.76;16.1;19.3;23.2;11.84;17.8;21.4;25.7
